ACTIVITY,SEX,RESULT,AGAINST,WHILE
ARRIVAL,MALE,,,
ARRIVAL,FEMALE,,,
DEPARTURE,MALE,,,
DEPARTURE,FEMALE,,,
DISPLAY,,SUCCESSFUL,,
DISPLAY,,UNSUCCESSFUL,,
AGGRESS,,,DISPLAYING,
AGGRESS,,,NOT DISPLAYING,
CHILLIN,,,,
ATTACKED,,,,DISPLAYING
ATTACKED,,,,NOT DISPLAYING
