NAME,ID,GR,YEAR
FERDINAND,FRD,,ASY
GEORGE,GRG,,SY
COOLIDGE,CLD,,ASY
TRUMAN,TRN,,ASY
TRUMP,TRP,,SY
GARFIELD,GRF,,SY
ARBUCKLE,ARB,,ASY
TAFTASTIC,TFT,,ASY
GADAFFI,GAD,,SY
NIXON,NIX,,SY
ATLANTA,ATL,,SY
